dis_id,dis_name,city_id
1,BANDAR BARU,1
2,TEUPAH TENGAH,2
3,JULI,3
4,MADAT,4
5,JANGKA,3
6,LHOKSUKON,5
7,SAWANG,5
8,JEUMPA,3
9,PIDIE,6
10,BANDAR DUA,1
11,TANGAN-TANGAN,7
12,PADANG TIJI,6
13,BIREM BAYEUN,4
14,BLANG KEJEREN,8
15,PANTAN CUACA,8
16,TAPAK TUAN,9
17,SIMEULEU TIMUR,2
18,SERUWAY,10
19,SAMA DUA,9
20,INGIN JAYA,11
21,PEUKAN BADA,11
22,BLANG PEGAYON,8
23,LEUSER,12
24,BLANG JERANGO,8
25,KLUET TIMUR,9
26,GAJAH PUTIH,13
27,BABUSSALAM,12
28,BABUL RAHMAH,12
29,SYAMTALIRA BAYU,5
30,SALANG,2
31,TANAH PASIR,5
32,KEUDE PANGA,14
33,MUTIARA TIMUR,6
34,TEUNOM,14
35,BAKTIYA,5
36,GEUREDONG PASE,5
37,MUARA DUA,15
38,SIMPANG KRAMAT (KERAMAT),5
39,ARONGAN LAMBALEK,16
40,BUBON,16
41,SAMALANGA,3
42,MEUKEK,9
43,SEUNUDDON (SEUNUDON),5
44,TADU RAYA,17
45,PEUDAWA,4
46,RANTO PEUREULAK,4
47,DARUL MAKMUR,17
48,LANGSA KOTA,18
49,PAYA BAKONG,5
50,NISAM,5
51,WOYLA TIMUR,16
52,WOYLA,16
53,PEUREULAK TIMUR,4
54,PEUREULAK BARAT,4
55,SIMPANG ULIM,4
56,SEUNAGAN,17
57,NIBONG,5
58,PIRAK TIMUR,5
59,TANGSE,6
60,BENDAHARA,10
61,JULOK,4
62,DARUL AMAN,4
63,SETIA,7
64,MEURAXA,19
65,COT GIREK,5
66,LANGSA BARO,18
67,IDI RAYEUK,4
68,PEUREULAK,4
69,LANGKAHAN,5
70,MAKMUR,3
71,MATANGKULI,5
72,DARUL HIKMAH,14
73,SUKA MAKMUE,17
74,TANAH LUAS,5
75,PEUDADA,3
76,SEULIMEUM,11
77,PEUSANGAN,3
78,PEUSANGAN SIBLAH KRUENG,3
79,SAMPOINIET,14
80,SYAMTALIRA ARON,5
81,INDRA MAKMUR,4
82,KUALA,17
83,PANTE BIDARI (BEUDARI),4
84,TANAH JAMBO AYE,5
85,MANYAK PAYED,10
86,PANDRAH,3
87,SUNGAI RAYA,4
88,PASIE RAYA,14
89,DARUL IKSAN (IHSAN),4
90,BABAH ROT,7
91,RANTAU SELAMAT,4
92,PANTE CEUREUMEN (PANTAI CEUREMEN),16
93,ULIM,1
94,WOYLA BARAT,16
95,BANDA BARO,5
96,IDI TUNONG,4
97,BATEE,6
98,JEUNIEB,3
99,SIMPANG MAMPLAM,3
100,KAWAY XVI,16
101,BLANG MANGAT,15
102,BLANG PIDIE,7
103,GANDA PURA,3
104,LANGSA TIMUR,18
105,INDRA JAYA,14
106,SYIAH KUALA,19
107,KUALA BATEE,7
108,KUTA MAKMUR,5
109,JEUMPA,7
110,MANGGENG,7
111,PULO ACEH,11
112,SAMATIGA,16
113,JAYA,14
114,NURUSSALAM,4
115,DARUL FALAH,4
116,KRUENG SABEE,14
117,MANTASIEK (MONTASIK),11
118,TITEUE,6
119,TANAH ALAS,12
120,KARANG BARU,10
121,TRUMON TIMUR,9
122,BUKIT TUSAM,12
123,RANTAU,10
124,KOTA BAHAGIA,9
125,BANDAR PUSAKA,10
126,KLUET TENGAH,9
127,SURO MAKMUR,20
128,KLUET UTARA,9
129,BANDA MULIA,10
130,KEJURUAN MUDA,10
131,TAMIANG HULU,10
132,TEUPAH SELATAN,2
133,SIMEULEU BARAT,2
134,SIMEULUE CUT,2
135,MESIDAH,13
136,RIKIT GAIB,8
137,BAMBEL,12
138,GLUMPANG TIGA (GEULUMPANG TIGA),6
139,SUKA MAKMUR,11
140,INDRAPURI,11
141,SUKAKARYA,21
142,DARUSSALAM,11
143,TEUPAH BARAT,2
144,SUKAJAYA,21
145,LINGE,22
146,PANTON REU,16
147,LABUHAN HAJI,9
148,MILA,6
149,KEMBANG TANJONG (TANJUNG),6
150,KUTA BARO,11
151,KUALA PESISIR,17
152,PEGASING,22
153,PINTU RIME GAYO,13
154,SERBA JADI,4
155,CELALA,22
156,SILIH NARA,22
157,BIES,22
158,RUSIP ANTARA,22
159,PEUNARON,4
160,LANGSA LAMA,18
161,KEUMALA,6
162,PULAU BANYAK BARAT,20
163,LUT TAWAR,22
164,SIMPANG TIGA,11
165,BAITURRAHMAN,19
166,LHOKNGA (LHO\NGA),11
167,BEBESEN,22
168,KUTE PANANG,22
169,ATU LINTANG,22
170,BINTANG,22
171,KETAMBE,12
172,LABUHAN HAJI TIMUR,9
173,KOTA JANTHO,11
174,PERMATA,13
175,KUTA BLANG,3
176,BEUTONG,17
177,TRIPA MAKMUR,17
178,BEUTONG ATEUH BANGGALANG,17
179,BUKIT,13
180,TELUK DALAM,2
181,DABUN GELANG (DEBUN GELANG),8
182,BADAR,12
183,RUNDENG,23
184,BAITUSSALAM,11
185,KETOL,22
186,LAWE BULAN,12
187,SUSOH,7
188,BANDAR,13
189,KOTA COT GLIE (KUTA COT GLIE),11
190,MUTIARA,6
191,INDRAJAYA,6
192,PEULIMBANG (PLIMBANG),3
193,GLUMPANG BARO,6
