subdis_id,subdis_name,dis_id
1,ABAH LUENG,1
2,ABAIL,2
3,ABEUK BUDI,3
4,ABEUK GEULANTEU,4
5,ABEUK JALOH,5
6,ABEUK LEUPON (LEUPEN),6
7,ABEUK REULING,7
8,ABEUK TINGKEUM,8
9,ABEUK USONG,8
10,ABO TEUBENG,9
11,ADAN,10
12,ADAN,11
13,ADANG,12
14,AFDELING II BUKIT / BUKET,13
15,AGUSEN,14
16,AIH SELAH,15
17,AIR BERUDANG,16
18,AIR DINGIN,17
19,AIR MASIN,18
20,AIR PINANG,17
21,AIR PINANG,16
22,AIR SIALANG HILIR,19
23,AIR SIALANG HULU,19
24,AIR SIALANG TENGAH,19
25,AJEE CUT,20
26,AJEE PAGAR AIR,20
27,AJEE RAYEUK,20
28,AJUEN,21
29,AKANG SIWAH,22
30,AKHIH MAJILE,23
31,AKI NEUNGOH,1
32,AKUL,24
33,ALAI,25
34,ALAM JAYA,26
35,ALAS MEMANCAR,27
36,ALAS MESIKHAT,28
37,ALEN,29
38,ALEU RAMBONG,3
39,ALONG JAYA,30
40,ALUE (MEUNASAH ALUE),31
41,ALUE ABEE,6
42,ALUE ABET,32
43,ALUE ADAN,33
44,ALUE AMBANG,34
45,ALUE ANOU BARAT,35
46,ALUE ANOU TIMU,35
47,ALUE AWE,36
48,ALUE AWE,37
49,ALUE BADEE,38
50,ALUE BAGOK,39
51,ALUE BAKONG,40
52,ALUE BARAT,41
53,ALUE BARO,42
54,ALUE BAROH,43
55,ALUE BATA,44
56,ALUE BATEE,39
57,ALUE BATEE,45
58,ALUE BATEE,46
59,ALUE BATEUNG BROK,47
60,ALUE BAYEU UTANG,5
61,ALUE BERAWE,48
62,ALUE BIE PUSONG,5
63,ALUE BIENG,49
64,ALUE BILI GEULUMPANG,35
65,ALUE BILI RAYEUK,35
66,ALUE BILI,50
67,ALUE BILIE,47
68,ALUE BILIE,51
69,ALUE BLANG,52
70,ALUE BU ALUE LHOK,53
71,ALUE BU ALUE NIREH,53
72,ALUE BU JALAN BAROH,54
73,ALUE BU JALAN,54
74,ALUE BU TUHA,54
75,ALUE BU TUNONG,54
76,ALUE BUGENG,53
77,ALUE BUKET,6
78,ALUE BULOH DUA,55
79,ALUE BULOH SATU,55
80,ALUE BULOH,56
81,ALUE BULOH / BALOH,13
82,ALUE BUMAN,57
83,ALUE BUNGKOH,58
84,ALUE BUYA PASI,5
85,ALUE BUYA,35
86,ALUE BUYA,5
87,ALUE CALONG,59
88,ALUE CAMPLI,43
89,ALUE CANANG,13
90,ALUE CANTEK,60
91,ALUE CEK DOI,61
92,ALUE DALAM,62
93,ALUE DAMA,35
94,ALUE DAMA,63
95,ALUE DEAH TEUNGOH (ALUE DEYAH TENGOH),64
96,ALUE DODOK,56
97,ALUE DRIEN LS,65
98,ALUE DRIEN,13
99,ALUE DUA BAKARAN BATE,66
100,ALUE DUA MUKA O,67
101,ALUE DUA MUKA S,67
102,ALUE DUA PAYA GAJAH,68
103,ALUE DUA,69
104,ALUE DUA,66
105,ALUE DUA,70
106,ALUE DUA,46
107,ALUE EMPEUK,51
108,ALUE ENTOK,71
109,ALUE EUMPOK,6
110,ALUE GADENG DUA,13
111,ALUE GADENG SATU,13
112,ALUE GADENG,13
113,ALUE GADENG,62
114,ALUE GAJAH,72
115,ALUE GAJAH,73
116,ALUE GAJAH,44
117,ALUE GAMPONG,74
118,ALUE GANDAI,75
119,ALUE GEUDONG,35
120,ALUE GEUNTENG,46
121,ALUE GEUTAH,47
122,ALUE GINTONG,76
123,ALUE GLUMPANG BA,77
124,ALUE GLUMPANG SBL.K,78
125,ALUE GRO,79
126,ALUE GUNTO,80
127,ALUE GUREP,53
128,ALUE IE ITAM,81
129,ALUE IE ITAM,45
130,ALUE IE MAMEH,82
131,ALUE IE MIRAH,81
132,ALUE IE MIRAH,57
133,ALUE IE MIRAH,83
134,ALUE IE MIRAH,84
135,ALUE IE PUTEH,85
136,ALUE IE TAREK,35
137,ALUE IET,78
138,ALUE IGEUEH,86
139,ALUE ITAM BAROH,6
140,ALUE ITAM REUDEUP,6
141,ALUE ITAM,87
142,ALUE JAMBOK,35
143,ALUE JAMPAK,47
144,ALUE JANG,88
145,ALUE JANGAT,89
146,ALUE JEUREUJAK (JERJAK),90
147,ALUE KAMBUK / KAMBUEK,73
148,ALUE KAUL / KAOL,91
149,ALUE KEUJRUEN,74
150,ALUE KEUMANG,92
151,ALUE KEUMIKI,93
152,ALUE KEUMUNENG,94
153,ALUE KEUPULA (KUPULA),78
154,ALUE KEUREUNYAI,95
155,ALUE KEUTAPANG,35
156,ALUE KEUTAPANG,10
157,ALUE KEUTAPANG,75
158,ALUE KIRAN,43
159,ALUE KRAK KAYEE,69
160,ALUE KRUEB,78
161,ALUE KRUENG,88
162,ALUE KUMBA,91
163,ALUE KUMBANG A,96
164,ALUE KUMBANG M,96
165,ALUE KUTA,5
166,ALUE KUYUEN,51
167,ALUE KUYUN,47
168,ALUE LABUE,44
169,ALUE LADA,97
170,ALUE LAMSABA,98
171,ALUE LEUHOB,65
172,ALUE LEUHOB,99
173,ALUE LEUHOB,94
174,ALUE LHEE,100
175,ALUE LHOK,40
176,ALUE LHOK,96
177,ALUE LHOK,100
178,ALUE LIM,101
179,ALUE LIMENG,8
180,ALUE MAJRON,29
181,ALUE MANGGOTA (ALUM ANGGOTA),102
182,ALUE MANGKI,103
183,ALUE ME,10
184,ALUE MERBAU,104
185,ALUE MEUDEM (MUDEM),6
